Accumula Town	Black and White	Pokemon	https://youtu.be/p3y5dtLOaQk
Battle! Elite Four	Black and White	Pokemon	https://youtu.be/llnXhrCn9Yo
Battle! Ghetsis	Black and White	Pokemon	https://youtu.be/LEbLAFHo5Ts
Battle! Gym Leader	Black and White	Pokemon	https://youtu.be/gFRw4tSDnjs
Battle! Legendary Pokémon	Black and White	Pokemon	https://youtu.be/V3Q4WFYWGdY
Battle! N (Final)	Black and White	Pokemon	https://youtu.be/O0ajBL15Knk
Battle! Reshiram/Zekrom	Black and White	Pokemon	https://youtu.be/osBuSrEho-U
Battle! Rival (Cheren/Bianca)	Black and White	Pokemon	https://youtu.be/_Yr5Taoyalo
Battle! Team Plasma	Black and White	Pokemon	https://youtu.be/pF1n0GflZMg
Battle! Trainer	Black and White	Pokemon	https://youtu.be/3VHvOeuy_Ak
Battle! Wild Pokémon	Black and White	Pokemon	https://youtu.be/pXJ9Sn5lEHc
Bicycle	Black and White	Pokemon	https://youtu.be/KJLW1aXLkTg
Castelia City	Black and White	Pokemon	https://youtu.be/M_pwLX0_aVU
Crisis in Battle!	Black and White	Pokemon	https://youtu.be/aLVr0VfeLmk
Dreamyard	Black and White	Pokemon	https://youtu.be/hHFP9AIjioU
Driftveil City	Black and White	Pokemon	https://youtu.be/xc_0wfIuuzw
Embracing One's Duty	Black and White	Pokemon	https://youtu.be/1DCPY-7vz00
Icirrus City	Black and White	Pokemon	https://youtu.be/vMTqSl-usYI
Juniper's Pokémon Research Laboratory	Black and White	Pokemon	https://youtu.be/7nEWOkDkzbE
Mistralton City	Black and White	Pokemon	https://youtu.be/q3dffjin4MI
N's Castle	Black and White	Pokemon	https://youtu.be/Pz-n3eXg7pc
Nacrene City	Black and White	Pokemon	https://youtu.be/yBz3puTQhC4
Nimbasa City	Black and White	Pokemon	https://youtu.be/BLYU--FRzOU
Nuvema Town	Black and White	Pokemon	https://youtu.be/7zCe5nOuvNM
Professor Juniper's Theme	Black and White	Pokemon	https://youtu.be/dvFlyfN_fko
